,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
206,KOJI,Kojichuwa Chuli,,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),6439,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2003,Nepal & China,Climbed,2010,Spring,KOJI10101,Japan,"Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto"
207,KOJS,Kojichuwa South,,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
208,KORL,Korlang Pari Tippa,Korlang Pari Tippa North,N of Lamabagar on Tibetan border,5738,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Unclimbed,0,Unknown,,,
209,KOTA,Kotang,"Kokthang, Kothang Kang",Simhalila Himal (SSW of Rothang on Indian border),6148,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1982,Autumn,KOTA82301,Inida,"K. V. Cherian, Nima Tashi Sherpa, Ang Norbu, Ki Kami Sherpa"
210,KTEG,Kangtega,"Kantega, Khangtega, Kang Taiga",Khumbu Himal (SW of Ama Dablam),6783,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1963,Spring,KTEG63101,"New Zealand, USA","David Dornan, Tom Frost, Michael Gill, Jim Wilson"
211,KTOK,Kangtokal,Khang Tokal,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),6294,Dhaulagiri,Dhaulagiri-Mukut,True,False,False,Opened in 1997,Nepal only,Climbed,1962,Spring,KTOK62101,"Japan, Nepal","Zenkichi Hirayama, Ang Temba Sherpa"
212,KTSU,Kangtsune,"Kangchunne, Kanchauni Lekh","Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",6444,Kanjiroba,Kanjiroba-Far West,False,True,False,,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
213,KTUN,Khatung Khang,,Annapurna-Nilgiri Himal (SW of Thorong La),6484,Annapurna,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,1956,Spring,KTUN56101,Switzerland,"Arthur Baumgartner, Marguerite Deriaz"
214,KUML,Kumlung,Kang Kuru?,Damodar Himal (NE of Saribung and W of Bhrikuti),6355,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,2008,Autumn,KUML08301,France,"Paulo Grobel, Paul Vulin"
215,KUSU,Kusum Kanguru,"Kusum Kang, Lamu",Khumbu Himal (NE of Lukla village),6370,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,,Nepal only,Climbed,1981,Autumn,KUSU81302,New Zealand,Bill Denz
216,KWAN,Kwangde,,Rolwaling Himal (W of Namche Bazar),6186,Rolwaling,Khumbu-Rolwaling-Makalu,False,False,True,,Nepal only,Climbed,1978,Autumn,KWAN78301,Japan,"Takashi Iwahashi, Yoshihisa Ishikawa, Seiji Ogawa"
217,KYAB,Kyabura,"Ghabur, Temachungi","Kangchenjunga Himal (W of Kumbhakarna, Sobitongie and Phole)",6294,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed?
218,KYAS,Kyashar,"Peak 43, Tangnag Tseng",Khumbu Himal (S of Kantega),6770,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2003,Autumn,KYAS03301,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank"
219,KYAZ,Kyazo Ri,Kyajo Ri,Khumbu Himal (SW of Gokyo Lake),6151,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,Opened in 2002 as trekking peak,Nepal only,Climbed,2002,Autumn,KYAZ02301,"UK, France","Duncan Wilson, Vincent Marche"
220,KYR1,Kyungka Ri 1,Kyungya Ri 1,Langtang Himal (NE of Shalbachum near Tibetan border),6599,Langtang,Langtang-Jugal,True,False,False,Opened in 2003,Nepal only,Climbed,2017,Autumn,KYR117301,S Korea,"Han San-Hum, Oh Chi-Wan"
221,KYR2,Kyungka Ri 2,Kyungya Ri 2,Langtang Himal (NE of Shalbachum on Tibetan border),6506,Langtang,Langtang-Jugal,True,False,False,Opened in 2003,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
222,LAMJ,Lamjung Himal,,Annapurna Himal (SE of Annapurna II),6983,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1974,Spring,LAMJ74101,UK,"Derrick Chamberlain, Phillip Neame"
223,LAMP,Lampo,"Langpo Kangri, Ganesh VI",Ganesh Himal (N of Ganesh I on Tibetan border),6648,Ganesh/Shringi,Manaslu-Ganesh,False,True,False,,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
224,LANG,Langtang Lirung,Langtang,Langtang Himal,7227,Langtang,Langtang-Jugal,True,False,False,,Nepal only,Climbed,1978,Autumn,LANG78301,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa"
225,LANR,Langtang Ri,,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,Langtang,Langtang-Jugal,True,False,False,,Nepal & China,Climbed,1981,Autumn,LANR81301,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa"
226,LANY,Langtang Yubra,Yubra Himal,Langtang Himal (ENE of Langtang Lirung),6048,Langtang,Langtang-Jugal,False,False,True,Opened in 2016,Nepal only,Unclimbed,2018,Autumn,LANY18301,"Australia, Netherands, Nepal","Karen De Lathouder, Elizabeth Finden, Edith Jankowski, Chris Jones, Warren Townsden, Lhakpa Nuru Sherpa, Mingma Sherpa, Nawang Sherpa, Phurba Sherpa, Sona Sherpa"
227,LARK,Larkya Peak,"Granite Peak, Naike Peak",Manaslu Himal (N of Manaslu North),6416,Manaslu/Mansiri,Manaslu-Ganesh,False,False,True,,Nepal only,Climbed,2017,Autumn,LARK17301,Georgia,"Archil Badriashvili, Giorgi Tepnadze, Bakar Gelashvili"
228,LAS2,Lashar II,Loshar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
229,LASA,Lasa,,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
230,LASH,Lashar I,Loshar I,Janak Himal (NW of Lashar II on Tibetan border),6842,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal & China,Climbed,2005,Autumn,LASH05301,Slovenia,"Andrej Stremfelj, Miha Habjan"
231,LCHA,Lachama Chuli,"Kubi Kangri, Kubi Dongdong",Changla Himal (N of Gorakh Himal on Tibetan border),6721,Nalakankar/Chandi/Changla,Kanjiroba-Far West,True,False,False,Opened in 2003,Nepal & China,Climbed,2007,Autumn,LCHA07301,Japan,"Atsushi Senda, Ryouta Fujii, Keizou Ishikawa, Hiroshi Kobayashi, Kouhei Kotani, Naoki Shimozato, Yuhki Tani"
232,LCHN,Lachama North,,Changla Himal (N of Lachama Chuli on Tibetan border),6628,Nalakankar/Chandi/Changla,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
